ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Universität Freiburg, Deutsches Seminar","","","",1,1,"AGD |1|"
"Universität Gießen, Lehrstuhl für Psychologie","","","",1,1,"AGD |1|"
"Universität Graz","","","",2,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |2|"
"Universität Hamburg","","","",16,3,"Bavarian Archive for Speech Signals (BAS) |1| # Donated Corpora : Permic Varieties |10| # HZSK Tools |5|"
"Universität Hamburg / Universitätskolleg","","","",1,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Universität Hamburg : Hamburger Zentrum für Sprachkorpora","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Universität Hamburg, Asien-Afrika-Institut, Abt. für Afrikanistik und Äthiopistik Edmund-Siemers-Allee 1 (Flügel Ost) D-20146 Hamburg","","","",15,1,"DoBeS archive : Bayso and Haro |15|"
"Universität Hamburg, Department Informatik","","","",1,1,"Hamburg Dependency Treebank |1|"
"Universität Konstanz","","","",4,1,"Donated Corpora : Gammölsvänsk |4|"
"Universität Köln","","","",156,4,"DoBeS archive : Aru languages |141| # DoBeS archive : Beaver Archive |7| # DoBeS archive : Movima |1|"
"Universität Leipzig : Herder-Institut","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Universität Münster","","","",1,1,"Tübingen Language Resources |1|"
"Universität Regensburg","","","",64,1,"DoBeS archive : Minderico |64|"
"Universität Saarbrücken","","","",7,1,"AGD |7|"
"Universität Salzburg","","","",28,1,"AGD |28|"
"Universität Stuttgart","","","",34,2,"IMS, CLARIN-D Centre, University of Stuttgart |33| # Tübingen Language Resources |1|"
"Universität Tübingen","","","",11,3,"CLARIN Virtual Collection Registry |2| # Ludwig-Uhland-Institut für Empirische Kulturwissenschaft |1| # Tübingen Language Resources |7|"
"Universität Ulm","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Universität Wien","","","",10,3,"Dictionary Gate |4| # DoBeS archive : Akie |5| # TuniCo - Linguistic Dynamics in the Greater Tunis Area |1|"
"Universität Wrocław : Institut für Germanistik, Institut für Polonistik Universität Leipzig : Herder-Institut, Institut für Informatik, Abt. Automatische Sprachverarbeitung","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Universität des Saarlandes","","","",2,2,"IMS, CLARIN-D Centre, University of Stuttgart |1| # LRT + Open Submissions Data & Tools |1|"
"Universität zu Koln","","","",8,1,"DoBeS archive : Beaver Archive |8|"
"Universität zu Köln, Allgemeinesprachwissenschaft","","","",59,1,"DoBeS archive : Totoli |59|"
"Universität zu Köln, Institut für Linguistik, Allgemeine Sprachwissenschaft","","","",1,1,"DoBeS archive : CELD Papua |1|"
"Universitäts- und Forschungsbibliothek Erfurt/Gotha","","","",1,0,""
"Université Internationale de l'Ouest de Paris","","","",107,1,"DoBeS archive : Cashinahua project |107|"
"Université Paris Diderot","","","",2,1,"DoBeS archive : Gente del Centro - People of the Center |2|"
"Université Paris X- Nanterre","","","",1,1,"DoBeS archive : Trumai |1|"
"Université catholique de Louvain","","","",1,1,"TLA: DiscAn |1|"
"Université de Gand, Belgique","","","",2,1,"DoBeS archive : Nsambaan, Nsong and Ngong |2|"
"Université de Gand. koen.bostoen@ugent.be","","","",2,1,"DoBeS archive : Nsambaan, Nsong and Ngong |2|"
"Université de Paris X, Nanterre","","","",46,1,"DoBeS archive : Cashinahua project |46|"
"Université de Paris X, Nanterre / Max-Planck-Institute for Evolutionary Anthropology","","","",109,1,"DoBeS archive : Cashinahua project |109|"
"Universit� degli Studi di Napoli ""L'Orientale""","","","",1,1,"MPI EVA corpora : Jakarta Field Station |1|"
"Universiy of Paris X, France","","","",5,1,"DoBeS archive : Trumai |5|"
"Uppsala University","","","",7,2,"Donated Corpora : Permic Varieties |1| # LRT + Open Submissions Data & Tools |3|"
"Utenriksdepartementet","","","",2,1,"CLARINO NB – Språkbanken |2|"
"Utrecht Institute of Linguistics OTS (UiL OTS)","","","",1,1,"Meertens Collection: GBA-derived |1|"
"Utrecht University","","","",7,3,"CollBank |2| # Meertens Collection: Diversity in Dutch DP Design (DiDDD) |1| # TLA: DiscAn |4|"
"Utrecht University (UiL-OTS)","","","",1,1,"CollBank |1|"
"Utrecht university","","","",1,1,"CollBank |1|"
"V. Pios Forlag","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"VU Amsterdam","","","",1,1,"CollBank |1|"
"VU University","","","",1,1,"CollBank |1|"
"VU University Amsterdam","","","",6,4,"CollBank |1| # Donated Corpora : Biak |2| # INT |1|"
"VU, University Amsterdam","","","",1,1,"INT |1|"
"Valter valtioneuvoston termipankki","","","",1,0,""
"Van Dale Lexicography, Utrecht","","","",1,1,"INT |1|"
"Various Finnish Magazines and Newspapers","","","",2,0,""
"Veterans Institute","","","",2,1,"CollBank |2|"
"VideoLectures.NET","","","",3,1,"CLARIN.SI data & tools |3|"
"Volkswagen Foundation","","","",142,5,"DoBeS archive : Chontal |61| # DoBeS archive : Teop |33| # DoBeS archive : Wichita |6|"
"Vrije Universiteit Amsterdam (VU)","","","",1,1,"INT |1|"
"Vytautas Magnus Univeristy","","","",1,1,"CLARIN-LT |1|"
"Vytautas Magnus University","","","",6,1,"CLARIN-LT |6|"
"W. Moberly Lake Reserve","","","",1,1,"DoBeS archive : Beaver Archive |1|"
"Werkgroep Frequentie-Onderzoek van het Nederlands","","","",1,1,"INT |1|"
"Westfälische Wilhelms-Universität Münster","","","",270,1,"Donated Corpora : Leap |270|"
"Westfälische Wilhelms-Universität Münster, Department for General Linguistics","","","",1,1,"DoBeS archive : Totoli |1|"
"Wirtschaftsgymnasium","","","",6,1,"AGD |6|"
"Yale University","","","",210,1,"MPI EVA corpora : Jakarta Field Station |210|"
"Ylilauta","","","",2,0,""
"ZRC SAZU","","","",13,1,"CLARIN.SI data & tools |13|"
"Zentralinstitut für Sprachwissenschaft der Akademie der Wissenschaften der DDR","","","",8,1,"AGD |8|"
"Zentrum für Allgemeine Sprachwissenschaft, Berlin","","","",180,1,"DoBeS archive : West Ambrym Languages |180|"
"Zürcher Hochschule für Angewandte Wissenschaften","","","",1,1,"Phonogrammarchiv der Universität Zürich |1|"
"anonymous","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"c/o Mirima Dawang Woorlab-gerring, Kununurra","","","",1,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |1|"
"forskning.no","","","",2,1,"Clarino UiB |2|"
"http://clarino.uib.no/iness/","","","",1,1,"CLARINO Bergen Centre |1|"
"http://europa.eu/rapid/","","","",5315,1,"CLARIN-DK-UCPH Repository |5315|"
"http://sommer.alog.net","","","",1,1,"DoBeS archive : Kola Saami Documentation Project |1|"
"iNano, Aarhus Universitetsforlag","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"monikapawlowski@live.de","","","",1,1,"DoBeS archive : Khinalug |1|"
"mvmachava@yahoo.com","","","",1,1,"DoBeS archive : ECLING project |1|"
"netpatient","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"nevskaya@em.uni-frankfurt.de","","","",3,0,""
"not available","","","",1,1,"TLA: DiscAn |1|"
"see Adress","","","",295,1,"DoBeS archive : Beaver Archive |295|"
"sprakbanken","","","",1,1,"CLARINO NB – Språkbanken |1|"
"the IJsselacademy, Kampen","","","",1,1,"CollBank |1|"
"the Staring Instituut","","","",1,1,"CollBank |1|"
"university of leuven","","","",1,1,"CollBank |1|"
"utrecht university","","","",2,1,"CollBank |2|"
"www.celd-papua.net","","","",134,1,"DoBeS archive : CELD Papua |3|"
"École Pratique de Hautes Etudes","","","",4,1,"DoBeS archive : Trumai |4|"
"École des Hautes Etudes en Sciences Sociales","","","",94,1,"DoBeS archive : Trumai |94|"
"École normale supérieure (ENS) de Lyon","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"ÖAW","","","",1,1,"TuniCo - Linguistic Dynamics in the Greater Tunis Area |1|"
"Österreichische Akademie der Wissenschaften","","","",4,1,"Dictionary Gate |4|"
"Østsamisk museum","","","",2,1,"DoBeS archive : Kola Saami Documentation Project |2|"
"Østsamisk museum Neiden, Norway","","","",5,1,"DoBeS archive : Kola Saami Documentation Project |5|"
"Краевое государственное учреждение культуры ""Таймырский Дом Народного Творчества""","","","",1,1,"DoBeS archive : Enets and Forest Nenets |1|"
"“Jožef Stefan” Institute","","","",1,1,"Clarino Bergen Centre - INESS |1|"
